edad,ciudad,estrato_socioeconomico,nivel_educacion,estado_civil,personas_a_cargo,tipo_empleo,antiguedad_empleo,salario_mensual,egresos_mensuales,numero_demandas,puntaje_datacredito,numero_propiedades,patrimonio_total,saldo_promedio_banco,valor_inmueble,anos_inmueble,porcentaje_cuota_inicial,valor_cuota_inicial,monto_credito,ltv,plazo_credito,tasa_interes_anual,cuota_mensual,dti,capacidad_ahorro,capacidad_residual,ratio_cuota_ingreso,ratio_patrimonio_deuda,meses_colchon,ratio_cuota_ahorro,ratio_egreso_salario,score_edad,flag_sobreendeudamiento,score_estabilidad_laboral,riesgo_legal,educacion_x_salario,edad_x_antiguedad,ltv_x_puntaje,grupo_edad,rango_salarial,categoria_puntaje,nivel_ltv,nivel_dti,puntaje_riesgo,nivel_riesgo,rechazo_automatico
32,Ibagué,2,Bachiller,Unión Libre,2,Informal,7.0,1718000,1288000,1,690,0,19900000,2880000,38000000,58,10,3800000.0,34200000.0,90.0,22,12.21,373800,21.76,430000,56200,21.76,0.5818713450292398,7.704654895666132,0.8693023255813953,74.97089639115251,40,0,70.0,86.46647167633873,1.718,224.0,189.0,Adulto Joven,Muy Bajo,Regular,Alto,Bueno,47.6,Medio,False
38,Cartagena,2,Bachiller,Casado,2,Informal,8.0,1528000,1146000,0,771,1,65000000,4190000,46000000,11,18,8280000.0,37720000.0,82.0,23,10.36,359100,23.5,382000,22900,23.5,1.7232237539766702,11.66805903648009,0.9400523560209424,75.0,40,0,80.0,0.0,1.528,304.0,105.78,Adulto Joven,Muy Bajo,Bueno,Alto,Bueno,64.4,Medio,False
39,Bogotá,3,Profesional,Unión Libre,0,Formal,10.0,5698000,3178000,1,830,0,203100000,46330000,153000000,9,16,24480000.0,128520000.0,84.0,22,8.89,1110300,19.49,2520000,1409700,19.49,1.580298786181139,41.727461046563995,0.4405952380952381,55.77395577395578,40,0,125.0,86.46647167633873,17.094,390.0,58.8,Adulto Joven,Medio,Muy Bueno,Alto,Excelente,90.0,Bajo,False
27,Bogotá,5,Posgrado,Soltero,0,Formal,5.5,14755000,7900000,0,850,0,203500000,79490000,373000000,3,17,63410000.00000001,309590000.0,83.0,24,8.79,2583500,17.51,6855000,4271500,17.51,0.6573209728996414,30.768337526611187,0.3768781911013859,53.541172483903765,10,0,80.0,0.0,59.02,148.5,41.5,Joven,Alto,Muy Bueno,Alto,Excelente,86.25,Bajo,False
50,Medellín,2,Técnico,Soltero,0,Independiente,14.0,3323000,2207000,0,832,0,84700000,32400000,104000000,41,16,16640000.0,87360000.0,84.0,12,9.39,1013500,30.5,1116000,102500,30.5,0.969551282051282,31.968426245683276,0.9081541218637993,66.41588925669576,40,0,110.0,0.0,6.646,700.0,57.12,Adulto,Bajo,Muy Bueno,Alto,Límite,70.0,Bajo,False
29,Bogotá,3,Técnico,Unión Libre,2,Independiente,2.0,3492000,2485000,0,819,0,43700000,10330000,112000000,0,10,11200000.0,100800000.0,90.0,21,9.98,957000,27.41,1007000,50000,27.41,0.43353174603174605,10.794148380355278,1.0962199312714778,71.1626575028637,10,0,30.0,0.0,6.984,58.0,72.9,Joven,Bajo,Muy Bueno,Alto,Aceptable,52.4,Medio,False
47,Medellín,3,Técnico,Casado,1,Formal,16.0,3604000,2561000,0,816,1,297500000,15540000,109000000,11,15,16350000.0,92650000.0,85.0,15,9.19,950200,26.37,1043000,92800,26.37,3.2110091743119265,16.35445169438013,0.911025886864813,71.05993340732519,40,0,125.0,0.0,7.208,752.0,71.4,Adulto,Medio-Bajo,Muy Bueno,Alto,Aceptable,73.0,Bajo,False
42,Medellín,2,Profesional,Casado,3,Formal,14.5,3646000,2734000,0,814,0,64100000,12380000,95000000,14,13,12350000.0,82650000.0,87.0,19,9.3,773600,21.22,912000,138400,21.22,0.7755595886267392,16.003102378490176,0.8482456140350877,74.98628634119584,40,0,125.0,0.0,10.937999999999999,609.0,74.82,Adulto,Medio-Bajo,Muy Bueno,Alto,Bueno,83.0,Bajo,False
31,Villavicencio,1,Bachiller,Casado,0,Informal,2.5,1426000,1048000,0,723,0,11500000,2080000,38000000,25,10,3800000.0,34200000.0,90.0,24,11.46,349200,24.49,378000,28800,24.49,0.3362573099415205,5.956471935853379,0.9238095238095239,73.492286115007,40,0,25.0,0.0,1.426,77.5,159.3,Adulto Joven,Muy Bajo,Bueno,Alto,Bueno,52.0,Medio,False
55,Medellín,3,Bachiller,Divorciado,0,Formal,29.0,2022000,1166000,0,799,1,220300000,10650000,47000000,14,21,9870000.0,37130000.0,79.0,11,9.34,451100,22.31,856000,404900,22.31,5.933207648801508,23.608955885612946,0.5269859813084112,57.66567754698318,40,0,125.0,0.0,2.022,1595.0,79.79,Adulto,Bajo,Bueno,Medio,Bueno,87.0,Bajo,False
26,Bucaramanga,3,Profesional,Soltero,1,Formal,5.0,6059000,3692000,0,844,0,48000000,28900000,101000000,9,19,19190000.0,81810000.0,81.0,22,8.99,712200,11.75,2367000,1654800,11.75,0.5867253392005867,40.57848918843022,0.3008871989860583,60.934147549100516,10,0,75.0,0.0,18.177,130.0,45.36,Joven,Medio,Muy Bueno,Alto,Excelente,85.5,Bajo,False
47,Villavicencio,4,Técnico,Soltero,0,Formal,19.0,3838000,2318000,0,850,0,138700000,19830000,122000000,13,19,23180000.0,98820000.0,81.0,16,8.83,962800,25.09,1520000,557200,25.09,1.4035620319773325,20.596177814707104,0.633421052631579,60.396039603960396,40,0,125.0,0.0,7.676,893.0,40.5,Adulto,Medio-Bajo,Muy Bueno,Alto,Aceptable,88.0,Bajo,False
48,Cúcuta,2,Profesional,Unión Libre,0,Formal,3.5,3388000,2341000,0,813,0,87300000,8390000,59000000,3,18,10620000.0,48380000.0,82.0,13,8.9,524400,15.48,1047000,522600,15.48,1.8044646548160397,15.999237223493516,0.5008595988538682,69.09681227863047,40,0,60.0,0.0,10.164,168.0,71.34,Adulto,Bajo,Muy Bueno,Alto,Excelente,83.25,Bajo,False
31,Bogotá,1,Profesional,Casado,2,Formal,3.0,2226000,1568700,0,850,0,23200000,6350000,66000000,17,10,6600000.0,59400000.0,90.0,16,9.62,607300,27.28,657300,50000,27.28,0.39057239057239057,10.456117240243701,1.0922661870503596,70.47169811320755,40,0,55.0,0.0,6.678,93.0,45.0,Adulto Joven,Bajo,Muy Bueno,Alto,Aceptable,54.5,Medio,False
51,Medellín,2,Técnico,Casado,0,Formal,11.5,3708000,2360200,0,818,0,137300000,18840000,120000000,20,15,18000000.0,100896036.58536586,84.08003048780488,10,9.36,1297800,35.0,1347800,50000,35.0,1.360806674341797,14.516874711049468,1.186288848263254,63.65156418554477,40,0,125.0,0.0,7.416,586.5,68.945625,Adulto,Medio-Bajo,Muy Bueno,Alto,Límite,63.0,Medio,False
35,Bogotá,6,Técnico,Soltero,0,Independiente,7.0,7969000,3921000,0,850,1,563000000,28250000,232000000,0,18,41760000.0,190240000.0,82.0,20,9.22,1738600,21.82,4048000,2309400,21.82,2.9594196804037005,16.248705855285863,0.42949604743083003,49.20316225373322,40,0,80.0,0.0,15.938,245.0,41.0,Adulto Joven,Medio,Muy Bueno,Alto,Bueno,86.4,Bajo,False
40,Medellín,2,Bachiller,Casado,0,Formal,9.5,2729000,1979000,0,808,0,49100000,5220000,77000000,19,10,7700000.0,69300000.0,90.0,19,9.71,666900,24.44,750000,83100,24.44,0.7085137085137085,7.827260458839406,0.8892,72.5174056430927,40,0,120.0,0.0,2.729,380.0,82.8,Adulto Joven,Bajo,Muy Bueno,Alto,Bueno,74.25,Bajo,False
40,Medellín,3,Posgrado,Casado,2,Formal,7.0,6649000,4552000,0,850,1,425100000,39970000,104000000,1,24,24960000.0,79040000.0,76.0,17,8.5,733700,11.03,2097000,1363300,11.03,5.378289473684211,54.477306801144884,0.34988078206962325,68.4614227703414,40,0,95.0,0.0,26.596,280.0,38.0,Adulto Joven,Medio,Muy Bueno,Medio,Excelente,92.5,Bajo,False
36,Pereira,3,Técnico,Unión Libre,2,Formal,18.0,5064000,3719000,0,830,0,141900000,27660000,100000000,28,25,25000000.0,75000000.0,75.0,17,8.53,697600,13.78,1345000,647400,13.78,1.892,39.65022935779817,0.5186617100371748,73.43996840442338,40,0,125.0,0.0,10.128,648.0,52.5,Adulto Joven,Medio,Muy Bueno,Medio,Excelente,97.0,Bajo,False
46,Medellín,1,Técnico,Casado,1,Formal,16.0,2132000,1541200,0,827,0,49600000,5210000,63000000,7,12,7560000.0,55440000.0,88.0,17,9.27,540800,25.37,590800,50000,25.37,0.8946608946608947,9.63387573964497,1.0146341463414634,72.28893058161351,40,0,125.0,0.0,4.264,736.0,64.24,Adulto,Bajo,Muy Bueno,Alto,Aceptable,68.0,Bajo,False
45,Medellín,3,Profesional,Casado,0,Formal,27.0,6382000,3893000,0,850,0,216700000,29450000,149000000,0,24,35760000.0,113240000.0,76.0,13,8.66,1212000,18.99,2489000,1277000,18.99,1.9136347580360298,24.2986798679868,0.48694254720771396,60.99968661861486,40,0,125.0,0.0,19.146,1215.0,38.0,Adulto,Medio,Muy Bueno,Medio,Excelente,97.0,Bajo,False
22,Otras,2,Bachiller,Unión Libre,0,Informal,2.0,1548000,1063900,0,730,0,1300000,2640000,45000000,41,10,4500000.0,40500000.0,90.0,21,11.76,434100,28.04,484100,50000,28.04,0.03209876543209877,6.08154803040774,1.0907035175879396,68.72739018087856,-30,0,20.0,0.0,1.548,44.0,153.0,Joven,Muy Bajo,Bueno,Alto,Aceptable,41.6,Alto,False
51,Bogotá,3,Técnico,Divorciado,1,Formal,26.5,4509000,3030000,0,850,1,422500000,24460000,122000000,1,21,25620000.0,96380000.0,79.0,11,8.5,1126300,24.98,1479000,352700,24.98,4.383689562149824,21.717126875610404,0.761528059499662,67.19893546240851,40,0,125.0,0.0,9.018,1351.5,39.5,Adulto,Medio-Bajo,Muy Bueno,Medio,Bueno,92.0,Bajo,False
22,Medellín,3,Técnico,Unión Libre,1,Formal,4.0,1846000,1277000,0,718,0,2600000,4970000,60000000,8,10,6000000.0,54000000.0,90.0,29,11.06,519000,28.11,569000,50000,28.11,0.04814814814814815,9.576107899807322,1.1233766233766234,69.1765980498375,-30,0,65.0,0.0,3.692,88.0,163.8,Joven,Muy Bajo,Bueno,Alto,Aceptable,46.0,Medio,False
48,Cartagena,2,Técnico,Casado,0,Formal,8.0,3592000,2625000,0,825,0,93000000,8050000,59000000,14,20,11800000.0,47200000.0,80.0,19,8.82,427400,11.9,967000,539600,11.9,1.9703389830508475,18.834815161441274,0.4419855222337125,73.07906458797328,40,0,105.0,0.0,7.184,384.0,60.0,Adulto,Medio-Bajo,Muy Bueno,Medio,Excelente,90.0,Bajo,False
49,Bogotá,4,Técnico,Casado,2,Independiente,8.0,4256000,3102000,0,833,0,230900000,24040000,152000000,7,21,31920000.0,120080000.0,79.0,18,8.87,1114800,26.19,1154000,39200,26.19,1.9228847435043304,21.564406171510583,0.9660311958405546,72.88533834586465,40,0,90.0,0.0,8.512,392.0,52.93,Adulto,Medio-Bajo,Muy Bueno,Medio,Aceptable,71.6,Bajo,False
27,Cali,2,Técnico,Unión Libre,1,Informal,1.5,2876000,1940100,1,696,0,16400000,3570000,89000000,18,10,8900000.0,80100000.0,90.0,24,12.62,885900,30.8,935900,50000,30.8,0.20474406991260924,4.029800203183203,1.2321279554937412,67.45827538247566,10,0,15.0,86.46647167633873,5.752,40.5,183.6,Joven,Bajo,Regular,Alto,Límite,28.2,Alto,False
33,Bogotá,4,Técnico,Soltero,1,Formal,5.0,3509000,2303000,2,650,0,57000000,22460000,128000000,4,14,17920000.0,110080000.0,86.0,24,11.52,1128800,32.17,1206000,77200,32.17,0.5178052325581395,19.89723600283487,0.9359867330016584,65.63123396979196,40,0,75.0,98.16843611112658,7.018,165.0,215.0,Adulto Joven,Medio-Bajo,Regular,Alto,Límite,40.5,Alto,False
26,Cúcuta,2,Técnico,Soltero,2,Formal,7.0,2782000,2086000,0,800,0,13000000,11240000,50000000,21,15,7500000.0,42500000.0,85.0,28,9.95,375800,13.51,696000,320200,13.51,0.3058823529411765,29.909526343799893,0.5399425287356322,74.98202731847591,10,0,95.0,0.0,5.564,182.0,85.0,Joven,Bajo,Bueno,Alto,Excelente,83.5,Bajo,False
35,Bogotá,6,Profesional,Casado,1,Formal,14.0,8157000,4484000,0,850,2,781600000,84630000,228000000,2,25,57000000.0,171000000.0,75.0,17,8.63,1600900,19.63,3673000,2072100,19.63,4.570760233918128,52.86401399212943,0.4358562482983937,54.97119038862327,40,0,125.0,0.0,24.471,490.0,37.5,Adulto Joven,Medio-Alto,Muy Bueno,Medio,Excelente,97.0,Bajo,False
34,Bogotá,3,Posgrado,Unión Libre,2,Formal,9.0,5689000,4118000,0,850,0,143400000,16290000,137000000,0,16,21920000.0,115080000.0,84.0,19,8.85,1044200,18.35,1571000,526800,18.35,1.246089676746611,15.600459682053247,0.6646721833227244,72.38530497451222,40,0,115.0,0.0,22.756,306.0,42.0,Adulto Joven,Medio,Muy Bueno,Alto,Excelente,91.5,Bajo,False
45,Cali,1,Bachiller,Unión Libre,0,Formal,27.0,2330000,1516000,0,828,1,154800000,9250000,49000000,8,23,11270000.0,37730000.0,77.0,18,8.5,341600,14.66,814000,472400,14.66,4.1028359395706335,27.078454332552692,0.4196560196560197,65.06437768240343,40,0,125.0,0.0,2.33,1215.0,55.44,Adulto,Bajo,Muy Bueno,Medio,Excelente,92.0,Bajo,False
51,Bogotá,2,Bachiller,Divorciado,1,Independiente,21.0,2925000,1980400,0,774,0,82700000,8280000,91000000,10,13,11830000.0,79170000.0,87.0,14,10.36,894600,30.58,944600,50000,30.58,1.0445875963117341,9.25553319919517,1.2238030095759234,67.7059829059829,40,0,110.0,0.0,2.925,1071.0,109.62,Adulto,Bajo,Bueno,Alto,Límite,55.0,Medio,False
51,Bogotá,3,Técnico,Casado,0,Formal,18.0,3418000,2062000,0,850,0,191500000,12910000,107000000,15,17,18190000.0,88810000.0,83.0,10,9.04,1126900,32.97,1356000,229100,32.97,2.156288706226776,11.456207294347324,0.831047197640118,60.32767700409596,40,0,125.0,0.0,6.836,918.0,41.5,Adulto,Bajo,Muy Bueno,Alto,Límite,78.0,Bajo,False
32,Medellín,4,Técnico,Soltero,2,Formal,2.0,4662000,3271000,0,827,0,56800000,31200000,125000000,0,19,23750000.0,101250000.0,81.0,16,8.8,984600,21.12,1391000,406400,21.12,0.5609876543209876,31.687995124923827,0.7078360891445004,70.16302016302016,40,0,45.0,0.0,9.324,64.0,59.13,Adulto Joven,Medio-Bajo,Muy Bueno,Alto,Bueno,76.0,Bajo,False
35,Medellín,2,Bachiller,Casado,0,Informal,6.0,1393000,916000,0,841,1,64400000,5710000,44000000,52,20,8800000.0,35200000.0,80.0,23,9.56,315800,22.67,477000,161200,22.67,1.8295454545454546,18.081063964534515,0.6620545073375262,65.75735821966978,40,0,60.0,0.0,1.393,210.0,47.2,Adulto Joven,Muy Bajo,Muy Bueno,Medio,Bueno,72.8,Bajo,False
22,Medellín,2,Bachiller,Unión Libre,1,Informal,1.0,1460000,988800,0,684,0,1700000,930000,45000000,30,10,4500000.0,40500000.0,90.0,29,12.1,421200,28.85,471200,50000,28.85,0.04197530864197531,2.207977207977208,1.1539726027397261,67.72602739726027,-30,0,10.0,0.0,1.46,22.0,194.4,Joven,Muy Bajo,Regular,Alto,Aceptable,35.8,Alto,False
29,Cali,3,Técnico,Unión Libre,1,Informal,2.5,3622000,2561000,1,700,0,39500000,23880000,86000000,3,20,17200000.0,68800000.0,80.0,22,11.47,715700,19.76,1061000,345300,19.76,0.5741279069767442,33.36593544781333,0.6745523091423186,70.7067918277195,10,0,25.0,86.46647167633873,7.244,72.5,160.0,Joven,Medio-Bajo,Regular,Medio,Excelente,62.0,Medio,False
47,Cali,1,Bachiller,Casado,0,Independiente,6.5,1978000,1235700,1,732,0,58600000,6580000,66000000,22,13,8580000.0,53229600.96411355,80.65091055168719,11,10.85,692300,35.0,742300,50000,35.0,1.1008912135093232,9.504550050556118,1.0210914454277287,62.4721941354904,40,0,75.0,86.46647167633873,1.978,305.5,135.49352972683448,Adulto,Muy Bajo,Bueno,Alto,Límite,42.8,Alto,False
54,Barranquilla,2,Bachiller,Casado,1,Informal,13.5,1363000,836000,1,700,0,50700000,2400000,45000000,37,13,5850000.0,39055850.06273525,86.79077791718946,14,11.84,477000,35.0,527000,50000,35.0,1.2981409934378794,5.031446540880503,1.3988269794721409,61.33528980190756,40,0,100.0,86.46647167633873,1.363,729.0,173.58155583437892,Adulto,Muy Bajo,Regular,Alto,Límite,43.0,Alto,False
25,Bogotá,3,Técnico,Soltero,0,Formal,4.0,3630000,2034000,0,850,0,15900000,33650000,117000000,2,18,21060000.0,95940000.0,82.0,21,8.99,848000,23.36,1596000,748000,23.36,0.1657285803627267,39.681603773584904,0.531328320802005,56.03305785123966,10,0,65.0,0.0,7.26,100.0,41.0,Joven,Medio-Bajo,Muy Bueno,Alto,Bueno,84.0,Bajo,False
32,Bogotá,3,Profesional,Soltero,0,Formal,9.5,6155000,3825000,0,842,0,73600000,47070000,196000000,25,17,33320000.000000004,162680000.0,83.0,21,8.92,1430600,23.24,2330000,899400,23.24,0.4524219326284731,32.9022787641549,0.6139914163090129,62.144597887896026,40,0,120.0,0.0,18.465,304.0,48.14,Adulto Joven,Medio,Muy Bueno,Alto,Bueno,92.25,Bajo,False
37,Cartagena,2,Técnico,Unión Libre,1,Formal,10.0,3698000,2774000,0,804,0,72000000,5630000,72000000,41,13,9360000.0,62640000.0,87.0,15,9.31,646900,17.49,924000,277100,17.49,1.1494252873563218,8.703045292935538,0.7001082251082251,75.01352082206598,40,0,125.0,0.0,7.396,370.0,83.52,Adulto Joven,Medio-Bajo,Muy Bueno,Alto,Excelente,88.0,Bajo,False
40,Cúcuta,2,Profesional,Soltero,0,Independiente,12.5,3155000,2351000,0,840,0,72900000,7780000,61000000,6,18,10980000.0,50020000.0,82.0,16,9.33,502500,15.93,804000,301500,15.93,1.4574170331867253,15.482587064676617,0.625,74.51664025356577,40,0,110.0,0.0,9.465,500.0,49.2,Adulto Joven,Bajo,Muy Bueno,Alto,Excelente,85.0,Bajo,False
29,Bogotá,3,Bachiller,Casado,0,Formal,9.0,2078000,1198000,0,832,0,22500000,8950000,61000000,1,12,7320000.0,53680000.0,88.0,28,9.16,444300,21.38,880000,435700,21.38,0.41915052160953803,20.144046815214946,0.5048863636363636,57.65158806544755,10,0,115.0,0.0,2.078,261.0,59.84,Joven,Bajo,Muy Bueno,Alto,Bueno,86.5,Bajo,False
42,Medellín,2,Bachiller,Casado,2,Informal,2.0,1448000,1033700,0,709,0,23600000,3040000,35000000,11,11,3850000.0,31150000.0,89.0,15,11.52,364300,25.16,414300,50000,25.16,0.7576243980738363,8.344770793302223,1.006353591160221,71.38812154696133,40,0,20.0,0.0,1.448,84.0,169.99,Adulto,Muy Bajo,Bueno,Alto,Aceptable,44.6,Alto,False
33,Medellín,4,Bachiller,Soltero,1,Independiente,10.5,3616000,2457000,0,772,0,46900000,22820000,89000000,8,20,17800000.0,71200000.0,80.0,17,9.84,719900,19.91,1159000,439100,19.91,0.6587078651685393,31.698847062091957,0.6211389128559103,67.94800884955751,40,0,110.0,0.0,3.616,346.5,102.4,Adulto Joven,Medio-Bajo,Bueno,Medio,Excelente,80.0,Bajo,False
37,Cali,2,Técnico,Casado,1,Formal,19.0,3136000,2325000,0,834,0,56200000,10460000,91000000,26,12,10920000.0,80080000.0,88.0,24,9.14,687200,21.91,811000,123800,21.91,0.7017982017982018,15.221187427240977,0.8473489519112207,74.1390306122449,40,0,125.0,0.0,6.272,703.0,58.08,Adulto Joven,Bajo,Muy Bueno,Alto,Bueno,83.0,Bajo,False
43,Barranquilla,3,Técnico,Unión Libre,3,Informal,11.0,2611000,1690700,0,771,0,102400000,4670000,81000000,0,14,11340000.000000002,69660000.0,86.0,12,10.93,870300,33.33,920300,50000,33.33,1.4699971289118576,5.365965758933701,1.332771822358346,64.75296821141325,40,0,100.0,0.0,5.222,473.0,110.94,Adulto,Bajo,Bueno,Alto,Límite,51.0,Medio,False
38,Bogotá,5,Técnico,Casado,1,Formal,20.0,5973000,3039000,0,850,0,199100000,30740000,223000000,2,16,35680000.0,187320000.0,84.0,17,8.84,1777600,29.76,2934000,1156400,29.76,1.062887038223361,17.292979297929794,0.6058623040218132,50.878955298844794,40,0,125.0,0.0,11.946,760.0,42.0,Adulto Joven,Medio,Muy Bueno,Alto,Aceptable,88.0,Bajo,False
33,Barranquilla,5,Posgrado,Divorciado,0,Formal,6.0,16157000,8177000,0,850,0,478100000,167400000,315000000,0,17,53550000.00000001,261450000.0,83.0,17,8.83,2479500,15.35,7980000,5500500,15.35,1.8286479250334673,67.51361161524501,0.3107142857142857,50.60964287924739,40,0,85.0,0.0,64.628,198.0,41.5,Adulto Joven,Alto,Muy Bueno,Alto,Excelente,87.0,Bajo,False
36,Bogotá,2,Profesional,Casado,3,Formal,15.0,3140000,2355000,0,850,0,45700000,13090000,85000000,50,14,11900000.000000002,73100000.0,86.0,23,9.35,645300,20.55,785000,139700,20.55,0.625170998632011,20.285138695180535,0.8220382165605096,75.0,40,0,125.0,0.0,9.42,540.0,43.0,Adulto Joven,Bajo,Muy Bueno,Alto,Bueno,83.0,Bajo,False
37,Medellín,2,Bachiller,Divorciado,2,Informal,8.0,1465000,902300,0,747,0,25100000,2650000,55000000,8,10,5500000.0,47361681.28382161,86.11214778876656,19,11.52,512700,35.0,562700,50000,35.0,0.5299642943328949,5.1687146479422665,1.4008196721311474,61.59044368600682,40,0,80.0,0.0,1.465,296.0,131.75158611681286,Adulto Joven,Muy Bajo,Bueno,Alto,Límite,44.4,Alto,False
34,Pereira,3,Técnico,Soltero,2,Informal,5.0,2013000,1271200,0,800,0,44500000,2680000,67000000,22,10,6700000.0,60300000.0,90.0,15,11.17,691800,34.37,741800,50000,34.37,0.7379767827529021,3.8739520092512287,1.375347912524851,63.14952806756086,40,0,50.0,0.0,4.026,170.0,90.0,Adulto Joven,Bajo,Bueno,Alto,Límite,49.0,Medio,False
35,Medellín,3,Bachiller,Soltero,3,Formal,14.5,1907000,1189600,0,791,0,38300000,4620000,76000000,7,10,7600000.0,60516410.39236479,79.62685577942736,15,10.46,667400,35.0,717400,50000,35.0,0.6328861832960306,6.922385376086305,1.39916142557652,62.38070267435762,40,0,125.0,0.0,1.907,507.5,86.79327279957583,Adulto Joven,Muy Bajo,Bueno,Medio,Límite,62.0,Medio,False
53,Bogotá,3,Bachiller,Casado,0,Formal,11.5,2039000,1126000,0,817,1,170500000,5280000,67000000,9,24,16080000.0,50920000.0,76.0,10,8.62,634600,31.12,913000,278400,31.12,3.3483896307934016,8.320201701859439,0.6950711938663746,55.22314860225601,40,0,125.0,0.0,2.039,609.5,63.08,Adulto,Bajo,Muy Bueno,Medio,Límite,82.0,Bajo,False
43,Otras,2,Profesional,Casado,1,Formal,8.0,3675000,2756000,0,831,0,69500000,11990000,58000000,46,16,9280000.0,48720000.0,84.0,15,8.93,492100,13.39,919000,426900,13.39,1.4265188834154352,24.36496647022963,0.5354733405875952,74.99319727891157,40,0,105.0,0.0,11.024999999999999,344.0,57.96,Adulto,Medio-Bajo,Muy Bueno,Alto,Excelente,85.0,Bajo,False
35,Manizales,4,Técnico,Soltero,0,Formal,4.5,4942000,3035000,0,850,2,281000000,33230000,84000000,1,23,19320000.0,64680000.0,77.0,24,8.65,533700,10.8,1907000,1373300,10.8,4.344465058750773,62.2634438823309,0.27986366019926584,61.41238365034399,40,0,70.0,0.0,9.884,157.5,38.5,Adulto Joven,Medio-Bajo,Muy Bueno,Medio,Excelente,88.75,Bajo,False
44,Cartagena,3,Técnico,Unión Libre,0,Informal,19.5,5232000,3146000,0,833,1,384000000,50320000,94000000,4,18,16920000.0,77080000.0,82.0,15,9.74,816100,15.6,2086000,1269900,15.6,4.981837052413077,61.65911040313687,0.3912272291466922,60.12996941896025,40,0,100.0,0.0,10.464,858.0,54.94,Adulto,Medio,Muy Bueno,Alto,Excelente,86.0,Bajo,False
34,Medellín,3,Técnico,Unión Libre,4,Formal,5.5,3415000,2216200,0,834,0,88000000,10550000,130000000,26,10,13000000.0,117000000.0,90.0,18,9.72,1148800,33.64,1198800,50000,33.64,0.7521367521367521,9.18349582172702,1.34519906323185,64.89604685212299,40,0,80.0,0.0,6.83,187.0,59.4,Adulto Joven,Bajo,Muy Bueno,Alto,Límite,53.25,Medio,False
49,Bogotá,2,Bachiller,Unión Libre,1,Formal,16.0,2327000,1745000,0,819,1,133500000,4460000,68000000,15,17,11560000.0,56440000.0,83.0,16,8.92,552900,23.76,582000,29100,23.76,2.365343727852587,8.066558147947188,0.95,74.98925655350236,40,0,125.0,0.0,2.327,784.0,67.23,Adulto,Bajo,Muy Bueno,Alto,Bueno,78.0,Bajo,False
41,Villavicencio,3,Profesional,Casado,1,Informal,7.5,4593000,3226000,0,784,0,107200000,26480000,89000000,7,19,16910000.0,72090000.0,81.0,14,10.62,826000,17.98,1367000,541000,17.98,1.487030101262311,32.05811138014528,0.60424286759327,70.2373176573046,40,0,75.0,0.0,13.779,307.5,93.96,Adulto,Medio-Bajo,Bueno,Alto,Excelente,79.0,Bajo,False
36,Cali,2,Bachiller,Unión Libre,1,Informal,2.0,1273000,781300,0,751,1,48900000,1240000,44000000,42,11,4840000.0,39160000.0,89.0,15,10.86,441700,34.7,491700,50000,34.7,1.248723186925434,2.8073352954494,1.388993710691824,61.374705420267084,40,0,20.0,0.0,1.273,72.0,132.61,Adulto Joven,Muy Bajo,Bueno,Alto,Límite,44.6,Alto,False
42,Cúcuta,2,Técnico,Soltero,0,Informal,3.5,2298000,1601000,0,846,0,59800000,4710000,37000000,43,22,8140000.0,28860000.0,78.0,16,9.4,291200,12.67,697000,405800,12.67,2.0720720720720722,16.17445054945055,0.41779053084648493,69.6692776327241,40,0,35.0,0.0,4.596,147.0,42.12,Adulto,Bajo,Muy Bueno,Medio,Excelente,79.8,Bajo,False
22,Bogotá,4,Bachiller,Soltero,0,Formal,1.5,3330000,1861000,0,768,0,3900000,32100000,113000000,14,16,18080000.0,94920000.0,84.0,21,9.75,886600,26.62,1469000,582400,26.62,0.04108723135271808,36.20572975411685,0.6035398230088496,55.88588588588589,-30,0,40.0,0.0,3.33,33.0,110.88,Joven,Bajo,Bueno,Alto,Aceptable,70.25,Bajo,False
26,Bogotá,4,Bachiller,Soltero,0,Formal,7.0,3428000,1941000,0,822,0,16300000,30800000,120000000,13,16,19200000.0,100800000.0,84.0,25,9.0,845900,24.68,1487000,641100,24.68,0.16170634920634921,36.4109232769831,0.5688634835238736,56.621936989498245,10,0,95.0,0.0,3.428,182.0,65.52,Joven,Bajo,Muy Bueno,Alto,Bueno,88.5,Bajo,False
26,Otras,3,Posgrado,Soltero,0,Independiente,2.0,5447000,3409000,1,778,0,37900000,22890000,88000000,10,18,15840000.0,72160000.0,82.0,20,9.87,690200,12.67,2038000,1347800,12.67,0.5252217294900222,33.164300202839755,0.33866535819430815,62.5849091242886,10,0,30.0,86.46647167633873,21.788,52.0,100.04,Joven,Medio,Bueno,Alto,Excelente,72.4,Bajo,False
39,Medellín,3,Profesional,Casado,2,Formal,7.0,5536000,3905000,0,815,0,134500000,27440000,124000000,7,16,19840000.0,104160000.0,84.0,21,8.84,910500,16.45,1631000,720500,16.45,1.2912826420890937,30.13728720483251,0.5582464745554875,70.53829479768787,40,0,95.0,0.0,16.607999999999997,273.0,71.4,Adulto Joven,Medio,Muy Bueno,Alto,Excelente,88.5,Bajo,False
